Original,Closest Match,Similarity Ratio
Earth Defense Force Insect Armageddon,Earth Defense Force: Insect Armageddon,0.99
Iron Front  D Day DLC,,0.0
Legend of Dungeon,Legend of Dungeon: Masters,0.79
Nether   Chosen,,0.0
SpellForce 2 Gold Edition,SpellForce - Platinum Edition,0.78
Tales of Maj Eyal   Ashes of Urh Rok,Tales of Maj'Eyal,0.6
Under the Ocean,Even the Ocean,0.76
Wrath of Athena,Wrath of Anna,0.86
WTFast Gamers Private Network  GPN ,,0.0
FINAL FANTASY XIII 2,FINAL FANTASY® XIII-2,0.93
16 Bit Arena,One Bit Arena,0.8
Iron Grip Warlord,Starpoint Gemini Warlords,0.67
Winning Post 8 2015,Winning Post / ウイニングポスト,0.67
Hell Yeah ,Hell Breaker,0.64
The Typing of The Dead Overkill,The Typing of The Dead: Overkill,0.98
Battle Nations,Battle Motion,0.81
Smashmuck Champions,Quake Champions,0.71
Loadout Campaign Beta,,0.0
Call of Juarez The Cartel,Call of Juarez™,0.7
Lambda Wars Beta,Nadia Was Here,0.6
TOME Immortal Arena,Immortal Empire,0.65
Rising Angels Reborn,Rising Angels: Reborn,0.98
Myst Masterpiece Edition,Myst: Masterpiece Edition,0.98
Riven,Risen,0.8
Dead Rising 2 Off the Record,Dead Rising 2: Off the Record,0.98
Death to Spies Moment of Truth,Death to Spies: Moment of Truth,0.98
RPG Maker DS Resource Pack,RPG Maker VX Ace,0.62
Infestation Survivor Stories,Infectonator: Survivors,0.71
Survival Postapocalypse Now,,0.0
Hegemony III Clash of the Ancients,Hegemony III: Clash of the Ancients,0.99
Commander Conquest of the Americas,Commander: Conquest of the Americas,0.99
Hegemony Gold Wars of Ancient Greece,Hegemony Gold: Wars of Ancient Greece,0.99
Europa Universalis Rome   Gold Edition,Europa Universalis: Rome - Gold Edition ,0.95
Commander Conquest of the Americas   Pirate Treasure Chest,Commander: Conquest of the Americas,0.73
Europa Universalis Rome   Vae Victis,Europa Universalis: Rome - Gold Edition ,0.76
Pirates of Black Cove,Shades of Black,0.67
Sword of the Stars II Enhanced Edition,Sword of the Stars II: Enhanced Edition,0.99
Codename Panzers   Cold War,Codename: Panzers - Cold War,0.95
Anno Online,Atulos Online,0.75
Tropico 3 Absolute Power,Khan: Absolute Power,0.68
City of Heroes,Company of Heroes,0.77
Rift Ascended Edition,Hard Reset Extended Edition,0.67
Cities XL 2012,Cities XXL,0.75
Quake II,Quake IV,0.88
Estranged Act I,Estranged: Act II,0.94
Pinball FX2   Balls of Glory Pinball,,0.0
Pinball FX2   The Walking Dead Table,,0.0
Quake,Quake IV,0.77
Quake II Ground Zero,Quake III Arena,0.63
Quake II The Reckoning,QUAKE II Mission Pack: The Reckoning,0.62
Quake III Team Arena,Quake III Arena,0.86
Quake Mission Pack 1 Scourge of Armagon,QUAKE Mission Pack 1: Scourge of Armagon,0.89
Quake Mission Pack 2 Dissolution of Eternity,QUAKE Mission Pack 2: Dissolution of Eternity,0.9
Tom Clancy s Ghost Recon Advanced Warfighter,Tom Clancy's Ghost Recon®,0.67
Call of Duty 2,Call of Duty® 2,0.97
F1 2013,F1 2018,0.86
Hamlet or the last game without MMORPG features  shaders and product placement,,0.0
GooCubelets,Gooblins,0.63
Commandos Beyond the Call of Duty,Commandos: Beyond the Call of Duty,0.99
Depth   S T E V E  Pack,,0.0
RIP,TRIP,0.86
RIP 2 Strike Back,,0.0
RIP 3 The Last Hero,The Last Hero,0.81
Terrorhedron,Terror,0.67
Tiny Bridge Ratventure,Tiny Bridge: Ratventure,0.98
Why So Evil 2 Dystopia,,0.0
Iron Sky Invasion,Iron Sky: Invasion,0.97
Jagged Alliance 2   Wildfire ,Jagged Alliance 2 - Wildfire,0.95
World War III Black Gold,World War III: Black Gold,0.98
Metro Conflict,Star Conflict,0.81
RollerCoaster Tycoon 2 Triple Thrill Pack,RollerCoaster Tycoon® 2: Triple Thrill Pack,0.98
NBA 2K14,NBA 2K19,0.88
Disney Infinity 2 0,Debris Infinity,0.71
Final Hours of Titanfall,,0.0
DisplayFusion,Dispersio,0.64
FINAL FANTASY XIV A Realm Reborn CE  NA version ,,0.0
Icewind Dale Enhanced Edition,Icewind Dale: Enhanced Edition,0.98
The Settlers 7 Paths to a Kingdom   Gold Edition,The Settlers® : Rise of an Empire - History Edition,0.53
Kingdom Wars,Kingdom Watcher,0.81
Ryse Son of Rome,Ryse: Son of Rome,0.97
Resident Evil 6 Mercenaries No Mercy,Resident Evil: Operation Raccoon City,0.55
Cossacks Art of War,Cossacks: Art of War,0.97
Rocksmith,Rocksmith™,0.95
Darkwind War on Wheels,Darkwind: War on Wheels,0.98
Darkest Hour A Hearts of Iron Game,Darkest Hour: A Hearts of Iron Game,0.99
Total War ATTILA   Age of Charlemagne Campaign Pack,,0.0
Sins of a Dark Age,Signs Of Darkness,0.69
Run and Fire,Rapid Fire,0.73
The Cursed Crusade,The Cursed Forest,0.74
D I P R I P  Warm Up,,0.0
Watchmen The End Is Nigh Part 2,Watchmen: The End is Nigh Part 2,0.95
FINAL FANTASY XIV Heavensward,FINAL FANTASY XIV Online,0.72
Warlock 2 the Exiled,Warlock 2: The Exiled,0.93
Renowned Explorers International Society,Renowned Explorers: International Society,0.99
Agarest Zero,Harvester,0.67
Zafehouse Diaries,Zafehouse: Diaries,0.97
Nimble Quest,Side Quest,0.73
Bloodsports TV   Blood Brawl,Bloodsports.TV,0.62
Cosmonautica   Soundtrack,Cosmonautica,0.65
Democracy 3 Clones and Drones,,0.0
Democracy 3 Extremism,Democracy 3 Africa,0.72
Democracy 3 Extremism Linux,Democracy 3 Africa,0.62
Democracy 3 Extremism Mac,Democracy 3 Africa,0.7
Democracy 3 Social Engineering,,0.0
Democracy 3 Social Engineering Linux,,0.0
Democracy 3 Social Engineering Mac,,0.0
Door Kickers Soundtrack,Door Kickers,0.69
Scribblenauts Unmasked,Scribblenauts Unlimited,0.84
Savant   Ascent,Divine Ascent,0.64
Gorky 17,,0.0
Jack Orlando Director s Cut,Jack Orlando: Director's Cut,0.95
Lilly and Sasha Guardian Angels,Lilly and Sasha: Guardian Angels,0.98
War in a Box Paper Tanks,War in a Box: Paper Tanks,0.98
World War II Panzer Claws,World War II: TCG,0.67
Viscera Cleanup Detail Santa s Rampage,Viscera Cleanup Detail: Santa's Rampage,0.96
Call of Duty Modern Warfare 2   Resurgence Pack,Call of Duty®: Modern Warfare® 2,0.73
Call of Duty Modern Warfare 2 Stimulus Package,Call of Duty®: Modern Warfare® 2,0.74
Tom Clancy s Ghost Recon Phantoms   EU The Thrill of the Surprise,,0.0
Devil May Cry 3 Special Edition,Devil May Cry® 3 Special Edition,0.98
A R E S ,,0.0
Lost Planet 2,Lost Planet® 2,0.96
GestureWorks Gameplay,,0.0
Jigoku Kisetsukan Sense of the Seasons,Jigoku Kisetsukan: Sense of the Seasons,0.99
Evolution RTS,Evolution VR,0.88
Spore Galactic Adventures,SPORE™ Galactic Adventures,0.82
Golden Rush,Gold Rush! 2,0.78
A Walk in the Dark,Alone in the Dark,0.8
Grimm,Grimind,0.67
Unreal Tournament Game of the Year Edition,Unreal Tournament: Game of the Year Edition,0.99
Call of Duty,Call of Duty®,0.96
Call of Duty United Offensive,Call of Duty: United Offensive,0.98
Out of the Park Baseball 14,Out of the Park Baseball 19,0.96
Spark Rising,Dark Rising,0.87
The Great Jitters Pudding Panic,The Great Jitters: Pudding Panic,0.98
Warhammer Online Age of Reckoning,,0.0
Tom Clancy s Ghost Recon Future Soldier,Tom Clancy's Ghost Recon: Future Soldier™,0.95
Grey s Anatomy The Video Game,Resume: The Video Game,0.71
Rhythm Zone,vRhythm,0.67
ArcheAge Silver Founders Pack,,0.0
Transformers War for Cybertron,,0.0
MotoGP14,MotoGP™14,0.94
MotoGP14 Laguna Seca Redbull US Grand Prix DLC,,0.0
Hotline Miami 2 Wrong Number Digital Comic,Hotline Miami 2: Wrong Number,0.79
ArtRage Studio Pro,Dance Studio VR,0.61
Godus,Exodus,0.73
Dysfunctional Systems Learning to Manage Chaos,Dysfunctional Systems: Learning to Manage Chaos,0.99
Lili Child of Geos,Lili: Child of Geos - Complete Edition,0.64
Ether One Deluxe Edition Upgrade,The Emptiness Deluxe Edition,0.67
Ether One Redux,Ether One,0.75
Fairy Bloom Freesia   Original Soundtrack,Fairy Bloom Freesia,0.63
Grey Goo   Emergence Campaign,,0.0
Grey Goo   Soundtrack,,0.0
Influent DLC   Svenska  Learn Swedish ,,0.0
Influent DLC     Learn Japanese ,,0.0
REVOLVER360 REACTOR,REVOLVER360 RE:ACTOR,0.97
Sid Meier s Civilization Beyond Earth   Rising Tide,Sid Meier's Civilization®: Beyond Earth™,0.79
NotGTAV,,0.0
NBA 2K9,NBA 2K19,0.93
Victor Vran,Victor Vran ARPG,0.81
Might   Magic X   Legacy ,Might & Magic X - Legacy,0.9
Defender s Quest Valley of the Forgotten,Defender's Quest: Valley of the Forgotten (DX edition),0.83
Dungeon Defenders Eternity,Dungeon Defenders,0.79
Galactic Civilizations III Soundtrack,Galactic Civilizations III,0.83
King Arthur The Druids,King Arthur: Fallen Champions,0.59
King Arthur The Saxons,King Arthur: Fallen Champions,0.67
Love,Live,0.75
Coil,Chill,0.67
Electronic Super Joy Groove City,Electronic Super Joy: Groove City,0.98
Electronic Super Joy Bonus Content,Electronic Super Joy: Groove City,0.75
Minecraft Story Mode   A Telltale Games Series,Minecraft: Story Mode - A Telltale Games Series,0.97
Cabela s Big Game Hunter Pro Hunts,,0.0
Dragon The Game,Dragon: The Game,0.97
realMyst,Duelyst,0.67
Brink of Consciousness Dorian Gray Syndrome,,0.0
Unreal II The Awakening,Unreal 2: The Awakening,0.91
Unreal Tournament 2004,Unreal Tournament 3 Black,0.77
Crypt of the NecroDancer Extended Soundtrack,Crypt of the NecroDancer,0.71
Crypt of the Necrodancer Soundtrack,Crypt of the NecroDancer,0.78
Crow   Hunter  Trapper Class ,,0.0
Slim   Hunter  Medic Class ,,0.0
Sunny   Hunter  Support Class ,,0.0
Torvald   Hunter  Assault Class ,,0.0
Ohm Studio,Rytmik Studio,0.7
Beat Hazard   Shadow Operations Unit,,0.0
Weird Worlds Return to Infinite Space,Weird Worlds: Return to Infinite Space,0.99
Expeditions Conquistador,Expeditions: Conquistador,0.98
Alien Breed 3 Descent,Alien Breed 3: Descent,0.98
DeathSpank Thongs Of Virtue,DeathSpank: Thongs of Virtue,0.95
Ether Vapor Remaster,Strike Force Remastered,0.65
Ravaged Zombie Apocalypse,Zombie Apocalypse,0.81
Superfrog HD,Super LOH,0.67
Sword of the Stars The Pit,Sword of the Samurai,0.74
Doorways Prelude,Doorways: Prelude,0.97
Dracula 2 The Last Sanctuary,Dracula 2: The Last Sanctuary,0.98
Reversion   The Meeting,Reversion - The Meeting (2nd Chapter),0.73
Evolve   Behemoth,,0.0
Tom Clancy s Splinter Cell,Tom Clancy's Splinter Cell®,0.94
Tom Clancy s Splinter Cell Double Agent,Tom Clancy's Splinter Cell Double Agent®,0.96
Universe at War Earth Assault,,0.0
Alien Shooter Vengeance,Alien Shooter,0.72
Alien Shooter 2 Reloaded,Alien Shooter 2: Reloaded,0.98
FIFA Manager 10,Club Manager 2017,0.62
Sherlock Holmes Crimes and Punishments,Sherlock Holmes: Crimes and Punishments,0.99
Company of Heroes The Great War 1918,Commander: The Great War,0.7
Sid Meier s Ace Patrol Pacific Skies,Sid Meier’s Ace Patrol: Pacific Skies,0.96
Sid Meier s Ace Patrol,Sid Meier’s Ace Patrol,0.95
Helicopter Simulator 2014 Search and Rescue,Helicopter Simulator 2014: Search and Rescue,0.99
Farming Simulator 2013   Modding Tutorials,Farming Simulator 2013 Titanium Edition,0.67
18 Wheels of Steel American Long Haul,18 Wheels of Steel: American Long Haul,0.99
Kingdoms CCG,Kingdoms Rise,0.72
Railroad Tycoon 2 Platinum,Railroad Tycoon II Platinum,0.94
DarkStar One,Darkstar One,0.92
Myst V,Mystic Vale,0.71
Cosmic Osmo,Cosmic DJ,0.7
Commandos Behind Enemy Lines,Commandos: Behind Enemy Lines,0.98
Grand Ages Rome,Grand Ages: Rome,0.97
Manhole,ManaCollect,0.67
Patrician IV Rise of a Dynasty,,0.0
Patrician IV Steam Special Edition,Patrician IV - Steam Special Edition,0.97
Spelunx,Senalux,0.71
The Great Art Race,The Great Race,0.88
Time of Shadows,Devoid of Shadows,0.75
Tropico,Tropico 6,0.88
Tropico 2 Pirate Cove,Pirate Code,0.62
Uru Complete Chronicles,URU: Complete Chronicles,0.89
LISA the Joyful,,0.0
Order of War,Order of War™,0.96
Aggression Europe Under Fire,Aggression: Europe Under Fire,0.98
Blood One Unit Whole Blood,Blood: One Unit Whole Blood,0.98
Kingdom,Kingdom Rush,0.74
Warside,WarFire,0.71
Beast Boxing Turbo,Beat Boxer,0.64
Immune,,0.0
Gladiators Online Death Before Dishonor,,0.0
Dinosaur Hunt Africa Contract,Dinosaur Hunter VR,0.6
Dead Bits  Soundtrack ,,0.0
Don t Starve Shipwrecked,Lost Shipwreck,0.63
LIGHTNING RETURNS FINAL FANTASY XIII,LIGHTNING RETURNS™: FINAL FANTASY® XIII,0.96
Nom Nom Galaxy,PixelJunk™ Nom Nom Galaxy,0.72
Finn and Jake s Epic Quest,Adventure Time: Finn and Jake's Epic Quest,0.74
Hand Of Fate,Hand of Fate,0.92
Sorcerer King,Sorcerer King: Rivals,0.76
Toy Soldiers War Chest,Toy Soldiers: Complete,0.73
Salvation Prophecy,,0.0
Cannon Brawl,Cannon Crew,0.78
Meridian New World,Meridian: New World,0.97
Kung Fu Strike The Warrior s Rise,Kung Fu Strike - The Warrior's Rise,0.94
Out There  Edition,Out There: Ω Edition,0.95
Interplanetary,Interplanetary Hunter,0.8
Titan Attacks,Titan Attacks!,0.96
Steam Marines,Stream Games,0.72
Castlevania Lords of Shadow 2   Revelations DLC,Castlevania: Lords of Shadow 2,0.75
Fallen Enchantress Legendary Heroes   The Dead World,Fallen Enchantress: Legendary Heroes,0.8
Fallen Enchantress Legendary Heroes Leader Pack,Fallen Enchantress: Legendary Heroes,0.84
Fallen Enchantress Legendary Heroes Loot Pack,Fallen Enchantress: Legendary Heroes,0.86
Fallen Enchantress Legendary Heroes Quest Pack,Fallen Enchantress: Legendary Heroes,0.85
Sword of the Stars The Pit   Mind Games,,0.0
Sword of the Stars The Pit Gold DLC,Sword of the Stars: Complete Collection,0.62
Sword of the Stars Complete Collection,Sword of the Stars: Complete Collection,0.99
The Bureau XCOM Declassified   Code Breakers,The Bureau: XCOM Declassified,0.77
The Pilgrim DLC,The Pilgrimage I,0.77
Shadowrun Hong Kong,Shadowrun: Hong Kong - Extended Edition,0.66
Assassin s Creed Syndicate,Assassin's Creed® Syndicate,0.94
Borderlands 2 RU,Borderlands 2,0.9
PAYDAY The Heist Game Soundtrack,PAYDAY™ The Heist,0.65
London 2012 The Official Video Game of the Olympic Games,,0.0
The Amazing Spider Man,The Amazing Bernard,0.73
F1 2010,F1 2018,0.86
Global Agenda   Beta,,0.0
Heavy Fire Afghanistan,Heavy Fire: Afghanistan,0.98
Prime World Defenders,Prime World: Defenders,0.98
Sine Mora,Sine Mora EX,0.86
Dragon Age Origins Character Creator,Dragon Age: Origins,0.65
Formula Fusion,Formula X,0.7
Might   Magic Clash of Heroes,Might & Magic: Clash of Heroes,0.95
Aces Wild Manic Brawling Action ,Aces Wild: Manic Brawling Action!,0.95
CortexGearAngryDroids,CortexGear: AngryDroids,0.95
CT Special Forces Fire for Effect,CT Special Forces: Fire for Effect,0.99
Deus Ex Revision,Deus Ex: Invisible War,0.63
Earth 2150 Lost Souls,The Lost Souls,0.69
Guild Wars Nightfall,Before Nightfall,0.61
Marine Sharpshooter II Jungle Warfare,Marine Sharpshooter II: Jungle Warfare,0.99
Might   Magic Duel of Champions   Christmas Alternate Art Cards Pack,,0.0
Neighbours from Hell,Neighbours from Hell Compilation,0.77
Neighbours from Hell 2,Neighbours from Hell Compilation,0.78
Pajama Sam in No Need to Hide When It s Dark Outside,Pajama Sam: No Need to Hide When It's Dark Outside,0.94
Quick Slick Deadly,,0.0
Tom Clancy s Ghost Recon Phantoms   EU 100  XP AC Boost   30 days,,0.0
Tom Clancy s Ghost Recon Phantoms   EU Assault Starter Pack,Tom Clancy's Ghost Recon: Future Soldier™,0.6
Tom Clancy s Ghost Recon Phantoms   EU Looks and Power  Assault ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU Looks and Power  Recon ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU Looks and Power  Support ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU Recon Starter Pack,Tom Clancy's Ghost Recon: Future Soldier™,0.61
Tom Clancy s Ghost Recon Phantoms   EU Substance with Style pack  Assault ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU Substance with Style pack  Recon ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU Substance with Style pack  Support ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU WAR Madness pack  Assault ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU WAR Madness pack  Recon ,,0.0
Tom Clancy s Ghost Recon Phantoms   EU WAR Madness pack  Support ,,0.0
Villagers and Heroes Hero of Stormhold Pack,Villagers and Heroes,0.63
Wind of Luck Arena   Mediterranean Captain pack,,0.0
Silver Creek Falls   Chapter 1,Silver Creek Falls: Chapter 1,0.95
GTR 2   FIA GT Racing Game,GTR 2 FIA GT Racing Game,0.96
Grand Ages Medieval,Grand Ages: Medieval,0.97
NOBUNAGA S AMBITION Sphere of Influence,NOBUNAGA'S AMBITION: Sphere of Influence,0.96
Hegemony Rome The Rise of Caesar,Hegemony Rome: The Rise of Caesar,0.98
FX Football   The Manager for Every Football Fan,,0.0
Folk Tale,Wolf Tails,0.63
Hegemony Philip of Macedon,,0.0
Act of Aggression,Act of Aggression - Reboot Edition,0.67
Distant Star Revenant Fleet,Distant Star: Revenant Fleet,0.98
Cities XL   Limited Edition,Cities in Motion,0.56
FX Football 3D Match,Football Game,0.61
Galactic Civilizations III   Map Pack DLC,Galactic Civilizations III,0.78
Galactic Civilizations III   Mega Events DLC,Galactic Civilizations III,0.74
Galactic Civilizations III   Precursor Worlds DLC,Galactic Civilizations III,0.69
Galactic Civilizations III   Revenge of the Snathi DLC,Galactic Civilizations III,0.65
Galactic Civilizations III   Ship Designer s Toolbox DLC,Galactic Civilizations III,0.63
Earth 2140 HD,Earth 2140,0.87
Project CARS   Audi Ruapuna Speedway Expansion Pack,,0.0
Project CARS   Old Vs New Car Pack,,0.0
Clown House  Palyao Evi ,Clown House (Palyaço Evi),0.9
Starion Tactics,Strain Tactics,0.9
Spore Creepy   Cute Parts Pack,SPORE™ Creepy & Cute Parts Pack,0.82
Section 8 Prejudice,Section 8®: Prejudice™,0.93
Pre Civilization Marble Age,Idle Civilization,0.64
Victory Command,Escort Commander,0.71
The Escapists The Walking Dead,The Escapists: The Walking Dead,0.98
Fahrenheit Indigo Prophecy Remastered,Fahrenheit: Indigo Prophecy Remastered,0.99
Disciples III Reincarnation,Disciples III: Reincarnation,0.98
Construction Simulator 2015,Construction Simulator 2015,1.0
Construction Simulator 2015 Liebherr 150 EC B,Construction Simulator 2015,0.75
Construction Simulator 2015 Vertical Skyline,Construction Simulator 2015,0.76
Dragon Age II,Dragon Rage,0.75
Brothers in Arms Hell s Highway,Brothers in Arms: Hell's Highway™,0.94
Shattered Horizon,Shattered Union,0.81
Majesty Gold Edition,Majesty Gold HD,0.74
SpellForce Platinum Edition,SpellForce - Platinum Edition,0.96
Woody Two Legs Attack of the Zombie Pirates,Woody Two-Legs: Attack of the Zombie Pirates,0.97
Pool Nation FX,Pool Nation,0.88
Magicka Wizards of the Square Tablet,Megamagic: Wizards of the Neon Age,0.69
Gumboy Crazy Features,Gumboy - Crazy Adventures™,0.81
Always Sometimes Monsters Demo,Always Sometimes Monsters,0.91
Arma Gold Edition,Armada 2526 Gold Edition,0.83
Between IGF Demo,In Between Games,0.62
Calibre 10 Racing Series,Calibre 10 Racing,0.83
Clickr,ClickBit,0.71
Dungeons The Eye of Draconus,Dungeons: The Eye of Draconus,0.98
Flashout 2,Flatshot,0.78
Gumboy Crazy Adventures,Gumboy - Crazy Adventures™,0.94
Heroine s Quest The Herald of Ragnarok,Heroine's Quest: The Herald of Ragnarok,0.96
Mightier,Lighter,0.8
Ragnarok Online   Free to Play   European Version,,0.0
Retro Grade IGF Demo,New Retro Arcade: Neon,0.62
Saints Row The Third   Initiation Station,Saints Row: The Third,0.65
Saints Row IV Inauguration Station,,0.0
Terrain Test,The Turing Test,0.74
UFO Afterlight,UFO: Afterlight,0.97
Vigil Blood Bitterness,,0.0
X Plane 10 Global   64 Bit,,0.0
X Plane 10 Global   64 Bit   Africa Scenery,,0.0
X Plane 10 Global   64 Bit   Asia Scenery,,0.0
X Plane 10 Global   64 Bit   Australia Scenery,,0.0
X Plane 10 Global   64 Bit   North America Scenery,,0.0
X Plane 10 Global   64 Bit   South America Scenery,,0.0
Poof,Poöf,0.75
Victory The Age of Racing,Victory: The Age of Racing,0.98
Karos Returns,Shadowrun Returns,0.67
Devils Share,The Devil's Garden,0.67
Aura Kingdom   Winter Gift,The far Kingdoms: Winter Solitaire,0.63
Bloons TD5,Bloons TD 5,0.95
Gothic 3 Forsaken Gods Enhanced Edition,Gothic 3: Forsaken Gods Enhanced Edition,0.99
Doctor Who The Eternity Clock,Doctor Who Infinity,0.62
Kingdom Wars 2 Battles,Kingdom Tales,0.69
Forsaken Uprising,Forsaken Isle,0.67
RIFT Infusion Edition,The Guild Gold Edition,0.6
Tom Clancy s Ghost Recon Phantoms   EU 6000 GC Pack,Tom Clancy's Ghost Recon® Wildlands,0.63
Real Warfare,Real Warfare 1242,0.83
Real Warfare 2 Northern Crusades,Real Warfare 2: Northern Crusades,0.98
Theatre of War 2 Africa 1943,Theatre of War 2: Africa 1943,0.98
Theatre of War 3 Korea,Theatre of War 3: Korea,0.98
XIII Century,XIII Century – Gold Edition,0.62
The Adventures of Mr  Bobley,The Adventures of Tree,0.8
Cabela s African Adventures,Tobe's Vertical Adventure,0.69
Wolfenstein The New Order German Edition,Wolfenstein: The New Order,0.76
Devil s Workshop pack,,0.0
Guns N Zombies,Guns n Zombies,0.93
Hero Siege   The Depths of Hell,The Depths of Tolagal,0.62
Hero Siege   The Karp of Doom,,0.0
Rise of Venice,Rise of One,0.72
Football Manager 2016 Touch Mode   Design a Son,Football Manager 2019 Touch,0.7
Madballs in   Babo Invasion,Madballs in Babo:Invasion ,0.91
Descent Underground,Knytt Underground,0.78
Geometry Wars Retro Evolved,Geometry Wars: Retro Evolved,0.98
Painkiller Gold Edition,Battlepillars Gold Edition,0.73
Wild Metal Country,Metal Country,0.84
Lineage II,Vintage VR,0.6
Dead or Alive 5 Last Round,,0.0
Edna   Harvey The Breakout,Edna & Harvey: The Breakout,0.94
The Dark Eye Chains of Satinav,The Dark Eye: Chains of Satinav,0.98
BlastZone 2,Blasteron,0.7
Geometry Wars 3 Dimensions Evolved,Geometry Wars™ 3: Dimensions Evolved,0.97
Enemy Territory Quake Wars,,0.0
Wallace   Gromit Ep 2 The Last Resort,,0.0
Wallace   Gromit Ep 3 Muzzled ,,0.0
Wallace   Gromit Ep 4 The Bogey Man,,0.0
Empires Dawn of the Modern World,Empires of the Undergrowth,0.66
MLB Front Office Manager,Present for Manager,0.6
Battle for Graxia,Battle for Orion 2,0.74
IL 2 Sturmovik 1946,IL-2 Sturmovik: 1946,0.92
GTA SA German Mac,,0.0
Agricultural Simulator 2013 Steam Edition,Agricultural Simulator 2013 - Steam Edition,0.98
Agricultural Simulator Historical Farming,Agricultural Simulator: Historical Farming,0.99
Sword Coast Legends,RollerCoaster Legends,0.75
Running Shadow,RunningDead,0.72
Written in the Sky,Eye in the Sky,0.75
Cossacks II Battle for Europe,Cossacks II: Battle for Europe,0.98
Akaneiro Demon Hunters,Akaneiro: Demon Hunters,0.98
Second Chance Heroes,A Second Chance,0.74
Akaneiro Early Access Starter Pack,,0.0
Chunk of Change Knight,,0.0
Company of Heroes 2   The British Forces,Company of Heroes - Legacy Edition,0.65
Hardland,Headlander,0.78
DuckTales Remastered,DuckTales: Remastered,0.98
Tribes Ascend   Steam Starter Pack,,0.0
Special Forces Team X,CT Special Forces: Fire for Effect,0.62
Pro Evolution Soccer 2016,Hacker Evolution Source Code,0.64
Emergency 2012,Emergency 2014,0.93
Cities XL 2011,Cities XXL,0.75
theHunter Primal,theHunter Classic,0.67
Dive to the Titanic,Lair of the Titans,0.7
Terminator Salvation,The Final Station,0.65
Cabelas Trophy Bucks,,0.0
Emergency 2013,Emergency 2014,0.93
Saw,Shmadow,0.6
Cossacks II Napoleonic Wars,Cossacks II: Napoleonic Wars,0.98
911 First Responders,,0.0
American Conquest   Fight Back,American Conquest: Fight Back,0.95
Call to Arms   Deluxe Edition,The Emptiness Deluxe Edition,0.63
Cossacks Back to War,Cossacks: Back to War,0.98
Cossacks European Wars,Cossacks: European Wars,0.98
Dungeons   Dragons Daggerdale,Dungeons and Dragons: Daggerdale,0.92
Eternal Silence,Eternal Senia,0.79
Virtua Tennis 4,Virtual Pool 4,0.62
Ring Runner Flight of the Sages,Ring Runner: Flight of the Sages,0.98
Act of War Direct Action,Act of War: Direct Action,0.98
Act of War High Treason,Act of War: High Treason,0.98
Albedo Eyes from Outer Space,Albedo: Eyes from Outer Space,0.98
Alien Carnage   Halloween Harry,,0.0
Arctic Adventure,Artifact Adventure,0.82
Balls of Steel,Ballad of Solar,0.69
Bio Menace,Box Maze,0.56
Blake Stone Aliens of Gold,Blake Stone: Aliens of Gold,0.98
Blake Stone Planet Strike,Blake Stone: Planet Strike,0.98
Call of Juarez,Call of Juarez™,0.97
Commander Keen Complete Pack,Crusader Kings Complete,0.67
Containment The Zombie Puzzler,Containment: The Zombie Puzzler,0.98
Dark Ages,Dark Years,0.74
Dawn of Discovery,Corpse of Discovery,0.72
Dawn of Discovery   Demo,Corpse of Discovery,0.6
Dawn of Discovery   Venice,,0.0
Duke Nukem,Duke Nukem Forever,0.71
Duke Nukem 2,Duke Nukem Forever,0.73
Duke Nukem 3D,Duke Nukem Forever,0.71
For The Glory,The Glow,0.67
GoD Factory Wingmen,GoD Factory: Wingmen,0.97
Hearts of Iron II Complete,Hearts of Iron 2 Complete,0.94
Iron Warriors T 72 Tank Command,Iron Warriors: T - 72 Tank Command ,0.94
Monuments of Mars,Mines of Mars,0.8
Pharaoh s Tomb,Through The Tomb,0.67
Raptor Call of the Shadows  1994 Classic Edition ,Raptor: Call of the Shadows (1994 Classic Edition),0.95
Real Boxing,Real Boxing™,0.96
Rise of the Triad Dark War,Rise of the Triad: Dark War,0.98
Shadow Warrior  Classic ,Shadow Warrior Classic Redux,0.88
The Bureau XCOM Declassified   Light Plasma Pistol,The Bureau: XCOM Declassified,0.71
The Bureau XCOM Hangar 6 R D,,0.0
Tom Clancy s H A W X ,Tom Clancy's EndWar™,0.63
Xenophage,Xenochamber,0.7
State of Decay Year One,State of Decay: YOSE,0.79
Pandora First Contact,Pandora: First Contact,0.98
Pandora Eclipse of Nashira,,0.0
Tropico 5   Generalissimo,,0.0
Tropico 5   Mad World,Tropico 5,0.6
Disney Infinity 3 0 Play Without Limits,Disney Infinity 3.0: Gold Edition,0.61
NBA 2K13,NBA 2K19,0.88
Mars Colony Challenger,Mars Colony:Challenger,0.95
Universe Sandbox ,Universe Sandbox ²,0.97
Day One Garry s Incident,,0.0
X Rebirth The Teladi Outpost,X Rebirth VR Edition,0.62
F1 Race Stars,We Are Stars,0.64
WARP,WAR7,0.75
The Amazing Spider Man 2,The Amazing Bernard,0.7
Lucidity,Lucidity™,0.94
Depth DEV,Depth,0.71
Scarygirl,Scary Girl,0.84
