Original,Closest Match,Similarity Ratio
Shadowrun Dragonfall   Director s Cut,Shadowrun: Dragonfall - Director's Cut,0.93
Shantae Risky s Revenge   Director s Cut,Shantae: Risky's Revenge - Director's Cut,0.91
Sins of a Solar Empire Rebellion,Sins of a Solar Empire: Rebellion®,0.97
Sins of a Solar Empire Rebellion Soundtrack,Sins of a Solar Empire: Rebellion®,0.83
Sonic Adventure 2 Battle Mode DLC,Sonic Adventure 2,0.68
Sonic CD,Sonic Mania,0.63
Sprite Lamp,Spirit Realm,0.7
Star Wars   Battlefront II,"Star Wars: Battlefront 2 (Classic, 2005)",0.67
Star Wars   Jedi Knight Mysteries of the Sith,STAR WARS™ Jedi Knight - Mysteries of the Sith™,0.8
Star Wars   Jedi Knight II Jedi Outcast,STAR WARS™ Jedi Knight II - Jedi Outcast™,0.78
Star Wars Dark Forces,STAR WARS™ - Dark Forces,0.67
Star Wars Empire at War Gold,STAR WARS™ Empire at War - Gold Pack,0.69
Star Wars Knights of the Old Republic,STAR WARS™ - Knights of the Old Republic™,0.79
Star Wars The Force Unleashed II,STAR WARS™: The Force Unleashed™ II,0.78
Star Wars The Force Unleashed Ultimate Sith Edition,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,0.85
Star Wars Jedi Knight Dark Forces II,STAR WARS™ Jedi Knight: Dark Forces II,0.81
Star Wars Jedi Knight Jedi Academy,STAR WARS™ Jedi Knight - Jedi Academy™,0.78
Star Wars Republic Commando,STAR WARS™ Republic Commando™,0.75
Star Wars Starfighter,Sun Blast: Star Fighter,0.5
Star Wars The Clone Wars Republic Heroes,STAR WARS™: The Clone Wars - Republic Heroes™,0.8
State of Decay,State of Decay: YOSE,0.82
Syberia 2,Syberia 3,0.89
The Binding of Isaac Rebirth,The Binding of Isaac: Rebirth,0.98
The Last Remnant,The Last Patient,0.75
The Lord of the Rings War in the North,The Lord of the Rings Online™,0.75
The Talos Principle Road To Gehenna,The Talos Principle VR,0.74
The Vanishing of Ethan Carter Redux,The Vanishing of Ethan Carter,0.91
The Witcher 2 Assassins of Kings Enhanced Edition,The Witcher 2: Assassins of Kings Enhanced Edition,0.99
The Witcher 3 Wild Hunt,The Witcher® 3: Wild Hunt,0.96
Thief Gold,Thief™ Gold,0.95
Tiny and Big Grandpa s Leftovers,Tiny and Big: Grandpa's Leftovers,0.95
Titan Quest,Toybit Quest,0.78
Titan Quest Immortal Throne,,0.0
Total War SHOGUN 2,,0.0
Transistor Soundtrack,Transistor,0.65
TRI Of Friendship and Madness,TRI: Of Friendship and Madness,0.98
TypeRider,Type:Rider,0.95
Valkyria Chronicles Challenge of the Edy Detachment,,0.0
Valkyria Chronicles Edy s Mission Enter the Edy Detachment,,0.0
Valkyria Chronicles Hard EX Mode,Valkyria Chronicles 4,0.75
Valkyria Chronicles Selveria s Mission Behind Her Blue Flame,,0.0
Viscera Cleanup Detail Shadow Warrior,Viscera Cleanup Detail,0.75
Warhammer 40 000 Dawn of War   Game of the Year Edition,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",0.94
Strife,Strife®,0.92
Call of Duty Black Ops   Multiplayer,Call of Duty: Black Ops - Mac Edition,0.74
Counter Strike Source,Counter-Strike: Source,0.93
Call of Duty Black Ops,Call of Duty®: Black Ops,0.96
Day of Defeat Source,Day of Defeat: Source,0.98
Empire Total War,Empires Apart,0.62
ARK Survival Evolved,ARK: Survival Evolved,0.98
TERA,TEVA,0.75
Flatout 3,Fallout 3,0.78
Counter Strike Nexon Zombies,Counter-Strike Nexon: Zombies,0.95
DCS World,Code World,0.74
Dragon Nest Europe,Dragon's Prophet,0.65
Loadout,Logout,0.77
Tactical Intervention,A Timely Intervention,0.76
